URL,purpose,owner,indexable,canonical,primary CTA,parent product,redirect target,status
/lab/experiments,Experiments library,Selena Lab,yes,/lab/experiments,Read methodology,Selena Lab,,200
/ru/lab/experiments,Experiments library RU,Selena Lab,yes,/ru/lab/experiments,Открыть методологию,Selena Lab,,200
/lab/articles,Articles library,Selena Lab,yes,/lab/articles,Run Public Readiness or discuss services,Selena Lab,,200
/ru/lab/articles,Articles library RU,Selena Lab,yes,/ru/lab/articles,Запустить Public Readiness или обсудить услугу,Selena Lab,,200
/lab/articles/what-is-ai-visibility,Article,Selena Lab,yes,/lab/articles/what-is-ai-visibility,Explore AI Visibility,Selena Lab,,200
/ru/lab/articles/what-is-ai-visibility,Article RU,Selena Lab,yes,/ru/lab/articles/what-is-ai-visibility,Открыть AI Visibility,Selena Lab,,200
/lab/guides/prepare-site-for-ai-systems,Guide,Selena Lab,yes,/lab/guides/prepare-site-for-ai-systems,Run Public Readiness,Selena Lab,,200
/ru/lab/guides/prepare-site-for-ai-systems,Guide RU,Selena Lab,yes,/ru/lab/guides/prepare-site-for-ai-systems,Запустить Public Readiness,Selena Lab,,200
/lab/guides/read-ai-visibility-report-evidence,Guide,Selena Lab,yes,/lab/guides/read-ai-visibility-report-evidence,Explore AI Visibility,Selena Lab,,200
/ru/lab/guides/read-ai-visibility-report-evidence,Guide RU,Selena Lab,yes,/ru/lab/guides/read-ai-visibility-report-evidence,Открыть AI Visibility,Selena Lab,,200
/lab/courses,Future course boundary,Selena Lab,no,/lab/courses,Read free Lab materials,Selena Lab,,200 noindex
/ru/lab/courses,Future course boundary RU,Selena Lab,no,/ru/lab/courses,Открыть бесплатные материалы Lab,Selena Lab,,200 noindex
/about,Company information,Selena Systems,yes,/about,Contact Selena Systems,Master brand,,200
/contact,Contact and service brief,Selena Systems,yes,/contact,Send a brief,AI Systems,,200
/en/contact,Contact and service brief EN,Selena Systems,yes,/en/contact,Send a brief,AI Systems,,200
/privacy,Privacy policy,Selena Systems,yes,/privacy,None,Legal,,200
/en/privacy,Privacy policy EN,Selena Systems,yes,/en/privacy,None,Legal,,200
/terms,Terms,Selena Systems,yes,/terms,None,Legal,,200
/en/terms,Terms EN,Selena Systems,yes,/en/terms,None,Legal,,200
/en,Legacy locale alias,Selena Systems,no,/,None,Master brand,/,308
/services,Legacy service alias,AI Systems,no,/ai-systems,None,AI Systems,/ai-systems,308
/free-ai-map,Retired lead-magnet alias,AI Visibility,no,/ai-systems,None,AI Visibility,/ai-systems,308
/ru/ai-map,Retired lead-magnet alias,AI Visibility,no,/ru#ai-systems,None,AI Visibility,/ru#ai-systems,308
/ai-visibility,Legacy product alias,AI Visibility,no,/visibility,None,AI Visibility,/visibility,308
/ru/ai-visibility,Legacy product alias,AI Visibility,no,/ru/visibility,None,AI Visibility,/ru/visibility,308
/report/sample,Retired report tombstone,Visibility,no,/check,None,AI Visibility,,404
/report/[token],Retired report tombstone,Visibility,no,/check,None,AI Visibility,,404/410
/ru/report/sample,Retired report tombstone RU,Visibility,no,/ru/check,None,AI Visibility,,404
/ru/report/[token],Retired report tombstone RU,Visibility,no,/ru/check,None,AI Visibility,,404/410
/robots.txt,Crawler policy,Selena Systems,n/a,n/a,None,Technical,,200
/sitemap.xml,Canonical URL index,Selena Systems,n/a,n/a,None,Technical,,200
